Employee_Code,First_Name,Last_Name,Email,Work_Place
1,Trudie,Smitham,tsmitham@yahoo.com,Bembos
2,Brandy,Labadie,blabadie@hotmail.com,Bembos
3,Clair,Powlowski,cpowlowski@hotmail.com,Sanguches Miguel
4,Ahmed,Kling,akling@hotmail.com,Bembos
5,Korey,Walter,kwalter@gmail.com,Don Belisario
6,Charlie,Zboncak,czboncak@gmail.com,Don Belisario
7,Stephen,Skiles,sskiles@hotmail.com,Sanguches Miguel
8,Edwin,McGlynn,emcglynn@yahoo.com,Don Belisario
9,Julia,Torphy,jtorphy@gmail.com,Don Belisario
10,Lenora,Dibbert,ldibbert@hotmail.com,Don Belisario
11,Devan,Thompson,dthompson@hotmail.com,Starbucks
12,Tina,Goyette,tgoyette@yahoo.com,Bembos
13,Rod,Streich,rstreich@gmail.com,Sanguches Miguel
14,Kitty,Cruickshank,kcruickshank@yahoo.com,Don Belisario
15,Zoila,Muller,zmuller@yahoo.com,Starbucks
16,Ollie,Harber,oharber@yahoo.com,Starbucks
17,Edward,McClure,emcclure@yahoo.com,Starbucks
18,Donavon,Blick,dblick@yahoo.com,Starbucks
19,Vernice,Crona,vcrona@yahoo.com,La Lucha
20,Aidan,Kreiger,akreiger@yahoo.com,Starbucks
21,Rosie,Bradtke,rbradtke@hotmail.com,Starbucks
22,Tressie,Rogahn,trogahn@gmail.com,Starbucks
23,Izabella,McLaughlin,imclaughlin@yahoo.com,La Lucha
24,Stanton,Haley,shaley@gmail.com,Sanguches Miguel
25,Sheridan,Willms,swillms@yahoo.com,Sanguches Miguel
26,Maximillia,Aufderhar,maufderhar@yahoo.com,Don Belisario
27,Rolando,Schroeder,rschroeder@yahoo.com,Don Belisario
28,Cielo,Corkery,ccorkery@hotmail.com,Starbucks
29,Allene,Romaguera,aromaguera@hotmail.com,Sanguches Miguel
30,Marcus,McClure,mmcclure@yahoo.com,La Lucha
31,Fay,Leffler,fleffler@gmail.com,Don Belisario
32,Bessie,Hansen,bhansen@gmail.com,Bembos
33,Kelley,McLaughlin,kmclaughlin@hotmail.com,Bembos
34,Rhett,Torp,rtorp@gmail.com,Don Belisario
35,Walter,Corwin,wcorwin@hotmail.com,Sanguches Miguel
36,Gussie,Upton,gupton@yahoo.com,Don Belisario
37,Fiona,Abernathy,fabernathy@hotmail.com,Don Belisario
38,Audrey,VonRueden,avonrueden@hotmail.com,Sanguches Miguel
39,Raina,Jenkins,rjenkins@hotmail.com,Don Belisario
40,Osborne,Rempel,orempel@hotmail.com,Starbucks
41,Angelo,Homenick,ahomenick@gmail.com,Bembos
42,Dorris,Herman,dherman@gmail.com,Bembos
43,Alexandro,Stoltenberg,astoltenberg@gmail.com,Sanguches Miguel
44,Jalon,Torphy,jtorphy@gmail.com,La Lucha
45,Jamey,Nolan,jnolan@yahoo.com,Bembos
46,Anika,Frami,aframi@hotmail.com,La Lucha
47,Tracy,Spencer,tspencer@yahoo.com,Don Belisario
48,Charity,Macejkovic,cmacejkovic@hotmail.com,La Lucha
49,Tabitha,Spinka,tspinka@gmail.com,Sanguches Miguel
50,Maegan,Hyatt,mhyatt@yahoo.com,La Lucha
